listno,email_num,sent_id,text
015-2625401,1,1.2,"As outlined at the face to face meet, I've been working on methods of getting coordinate information about the locations of Semantic web researchers and groups."
015-2625401,1,1.3,I wrote to the www-rdf-interest list asking for data:
015-2625401,1,1.4,http://lists.w3.org/Archives/Public/www-rdf-interest/2003Apr/0252.html
015-2625401,1,1.5,so we'll have to see how that pans out.
015-2625401,1,1.6,Please do add yourselves if you've not already there (I just did a few as examples).
015-2625401,1,1.7,"There are some SVG demos, developed from ones by Jim Ley, displaying the information we have already, which I constructed as examples:"
015-2625401,1,1.8,http://www.w3.org/2001/sw/Europe/200303/geo/intro.html#demos
015-2625401,1,1.9,"So, now we have to decide on the map which we will use to overlay the dots on."
015-2625401,1,1.10,"We want something that will highlight Europe, especially since on a world map, Europe is too small to really show up on provide the level of detail we require."
015-2625401,1,1.11,"At ILRT, Caroline Meek, Dan and I have had discussions with a designer, and he has pointed us at some examples, and we've narrowed it down to two that we rather like:"
015-2625401,1,1.12,http://www.cadmium.co.uk/thumbs/brand%20x/maps%20and%20globes/t_bxp_c31027.jpg.jpg
015-2625401,1,1.13,"which has the advantage of showing Europe as part of the world (we could get rid of the arm of the globe that is showing, and alter the colours);"
015-2625401,1,1.14,and http://www.cadmium.co.uk/thumbs/ds/maps%20and%20globes/t_11407324.jpg.jpg
015-2625401,1,1.15,"which would be technically simpler to do, but shows Europe in isolation (I do like the colour scheme though)."
015-2625401,1,1.16,Do people have a preference for one style over the other?
015-2625401,1,1.17,Could you let us know today if possible?
015-2625401,1,1.18,We need to specify the map as soon as possible in order to get postcards printed for www2003.
015-2625401,1,1.19,"thanks,"
015-2625401,1,1.20,Libby
015-2625401,1,1.21,p.s. Here's a nice similar idea:
015-2625401,1,1.22,http://www.asemantics.net/showcase/zoom.html
015-2625401,2,2.1,> Do people have a preference for one style over the other?
015-2625401,2,2.2,> Could you let us know today if possible?
015-2625401,2,2.3,> We need to specify the map as soon as possible in order to get postcards printed for www2003.
015-2625401,2,2.4,"Can't say I'm particularly grabbed by either of them, but if you have to pick one I'd go for the map, not the globe."
015-2625401,2,2.5,Is there any reason it has to be geographically accurate?
015-2625401,2,2.6,"Perhaps a schematic, analogous to the London Underground map of London, would allow you to convey the sense of spatial distribution without getting hung up on the scale problem."
015-2625401,2,2.7,"Of course, you may not consider that a helpful suggestion given the short timescale :-)"
015-2625401,2,2.8,"Cheers,"
015-2625401,2,2.9,Ian
015-2625401,3,3.1,"* Dickinson, Ian J &lt;Ian.Dickinson@hp.com&gt; [2003-04-25 12:12+0100]"
015-2625401,3,3.2,> From: Libby Miller [mailto:Libby.Miller@bristol.ac.uk]
015-2625401,3,3.3,>> Do people have a preference for one style over the other?
015-2625401,3,3.4,>> Could you let us know today if possible?
015-2625401,3,3.5,>> We need to specify the map as soon as possible in order to get postcards printed for www2003.
015-2625401,3,3.6,"> Can't say I'm particularly grabbed by either of them, but if you have to pick one I'd go for the map, not the globe."
015-2625401,3,3.7,> Is there any reason it has to be geographically accurate?
015-2625401,3,3.8,"> Perhaps a schematic, analogous to the London Underground map of London, would allow you to convey the sense of spatial distribution without getting hung up on the scale problem."
015-2625401,3,3.9,"> Of course, you may not consider that a helpful suggestion given the short timescale :-)"
015-2625401,3,3.10,"One advantage of being geographically accurate is it simplifies our lives when we try to plot SW researchers, groups, events etc on the map..."
015-2625401,3,3.11,"I prefer the map to the globe, fwiw."
015-2625401,3,3.12,Dan
015-2625401,4,4.1,"yeah, sorry it's such a rush."
015-2625401,4,4.2,It took a long time to write the document explaining how to write the RDF.
015-2625401,4,4.3,At this stage we really need examples to show the designer though
015-2625401,4,4.4,"- I'll pass your comments along to him, see if he has anything like that."
015-2625401,4,4.5,What don't you like about them in particular?
015-2625401,4,4.6,thanks for the feedback
015-2625401,4,4.7,Libby
015-2625401,4,4.8,"On Fri, 25 Apr 2003, Dickinson, Ian J wrote:"
015-2625401,4,4.9,> From: Libby Miller [mailto:Libby.Miller@bristol.ac.uk]
015-2625401,4,4.10,>> Do people have a preference for one style over the other?
015-2625401,4,4.11,>> Could you let us know today if possible?
015-2625401,4,4.12,>> We need to specify the map as soon as possible in order to get postcards printed for www2003.
015-2625401,4,4.13,"> Can't say I'm particularly grabbed by either of them, but if you have to pick one I'd go for the map, not the globe."
015-2625401,4,4.14,> Is there any reason it has to be geographically accurate?
015-2625401,4,4.15,"> Perhaps a schematic, analogous to the London Underground map of London, would allow you to convey the sense of spatial distribution without getting hung up on the scale problem."
015-2625401,4,4.16,"> Of course, you may not consider that a helpful suggestion given the short timescale :-)"
015-2625401,4,4.17,"> Cheers,"
015-2625401,4,4.18,> Ian
015-2625401,5,5.1,"Hi Libby,"
015-2625401,5,5.2,> What don't you like about them in particular?
015-2625401,5,5.3,"The globe is too visually busy for a background (imho), and if you decrease the opacity I think you'll lose too much of the important bits (like where the UK is :-)."
015-2625401,5,5.4,"The map would be OK as a backdrop for the FOAF map if it was semi-opaque, but (a) it misses out the rest of the world, as you said yourself, and (b) there's a big blue empty space on the left :-)."
015-2625401,5,5.5,"The atlantic is just too big** if you keep it to scale, hence my suggestion to use more of a schematic approach."
015-2625401,5,5.6,"I guess you need the cartographical equivalent of an ellipsis, whatever that might be!"
015-2625401,5,5.7,"Cheers,"
015-2625401,5,5.8,Ian
015-2625401,5,5.9,"** qv ""[the judge] ruled that the guilty party was 'life itself' for failing"
015-2625401,5,5.10,"to be either beautiful or true"" [hhgtg]"
015-2625401,6,6.1,thanks Ian.
015-2625401,6,6.2,I broadly agree with you.
015-2625401,6,6.3,"For (b) though, that might work in our favour, as we can put a logo and/or a slogan there."
015-2625401,6,6.4,Libby
015-2625401,6,6.5,"On Fri, 25 Apr 2003, Dickinson, Ian J wrote:"
015-2625401,6,6.6,"> Hi Libby,"
015-2625401,6,6.7,>> What don't you like about them in particular?
015-2625401,6,6.8,"> The globe is too visually busy for a background (imho), and if you decrease the opacity I think you'll lose too much of the important bits (like where the UK is :-)."
015-2625401,6,6.9,"> The map would be OK as a backdrop for the FOAF map if it was semi-opaque, but (a) it misses out the rest of the world, as you said yourself, and (b) there's a big blue empty space on the left :-)."
015-2625401,6,6.10,"> The atlantic is just too big** if you keep it to scale, hence my suggestion to use more of a schematic approach."
015-2625401,6,6.11,"> I guess you need the cartographical equivalent of an ellipsis, whatever that might be!"
015-2625401,6,6.12,"> Cheers,"
015-2625401,6,6.13,> Ian
015-2625401,6,6.14,"> ** qv ""[the judge] ruled that the guilty party was 'life itself' for failing to be either beautiful or true"" [hhgtg]"
023-2964247,1,1.1,I am planning my schedule at CHI 2003 <http://www.chi2003.org/>
023-2964247,1,1.2,- will there be anything happening at the conference related to this W3C User interest group?
023-2964247,1,1.3,"I do not see anything on the program yet, but I suspect we could at least have an informal SIG"
023-2964247,1,1.4,- a chance to meet others and bring someone like me (who missed the workshop) up to speed on what is happening.
023-2964247,1,1.5,"Like all CHIs, there will be many competing activities, so the sooner we can set this up the more likely I can attend."
023-2964247,1,1.6,Keith
023-2964247,1,1.7,--
023-2964247,1,1.8,keith@instone.org http://keith.instone.org/
023-2964247,2,2.1,I will be at CHI.
023-2964247,2,2.2,I sent an email to Steven Pemberton about getting an update on his draft of the charter and its status at W3C.
023-2964247,2,2.3,I really would like to get some updated info. before planning an informal SIG.
023-2964247,2,2.4,"However, if you email me that you are interested in meeting at CHI, I can try to arrange something--"
023-2964247,2,2.5,either signing up for an informal sig or arranging to meet for lunch or something.
023-2964247,2,2.6,Sharon
023-2964247,2,2.7,Quoting Keith Instone &lt;keith@instone.org&gt; :
023-2964247,2,2.8,> I am planning my schedule at CHI 2003 &lt;http://www.chi2003.org/&gt; -
023-2964247,2,2.9,> will there be anything happening at the conference related to this  W3C User interest group?
023-2964247,2,2.10,"> I do not see anything on the program yet, but I suspect we could at least have an informal SIG"
023-2964247,2,2.11,> - a chance to meet others and bring someone like me (who missed the workshop) up to speed on what is happening.
023-2964247,2,2.12,"> Like all CHIs, there will be many competing activities, so the sooner we can set this up the more likely I can attend."
023-2964247,2,2.13,> Keith
023-2964247,2,2.14,> keith@instone.org http://keith.instone.org/
023-2964247,3,3.1,It's been quite a while since I've seen any traffic on this list serv.
023-2964247,3,3.2,I had to check with Matt May to make sure things were still in synch on the working group.
023-2964247,3,3.3,Let's not lose our zeal folks!
023-2964247,3,3.4,-Mike
023-2964247,3,3.5,-----Original Message-----
023-2964247,3,3.6,> I will be at CHI.
023-2964247,3,3.7,> I sent an email to Steven Pemberton about getting an update on his draft of the charter and its status at W3C.
023-2964247,3,3.8,> I really would like to get some updated info. before planning an informal SIG.
023-2964247,3,3.9,"> However, if you email me that you are interested in meeting at CHI, I can try to arrange something"
023-2964247,3,3.10,> -- either signing up for an informal sig or arranging to meet for lunch or something.
023-2964247,3,3.11,> Sharon
023-2964247,3,3.12,Quoting Keith Instone <keith@instone.org> :
023-2964247,3,3.13,>> I am planning my schedule at CHI 2003 &lt;http://www.chi2003.org/&gt; -
023-2964247,3,3.14,>> will there be anything happening at the conference related to this  W3C User interest group?
023-2964247,3,3.15,">> I do not see anything on the program yet, but I suspect we could at least have an informal SIG"
023-2964247,3,3.16,>> - a chance to meet others and bring someone like me (who missed the workshop) up to speed on what is happening.
023-2964247,3,3.17,">> Like all CHIs, there will be many competing activities, so the sooner we can set this up the more likely I can attend."
023-2964247,3,3.18,>> Keith
023-2964247,3,3.19,>> keith@instone.org http://keith.instone.org/
023-2964247,4,4.1,"I think we decided at the NIST meetings to have our next meeting at CHI, and I have been planning on such a meeting there."
023-2964247,4,4.2,Did this plan change?
023-2964247,4,4.3,Chip
023-2964247,4,4.4,Sharon Laskowski wrote:
023-2964247,4,4.5,> I will be at CHI.
023-2964247,4,4.6,> I sent an email to Steven Pemberton about getting an update on his draft of the charter and its status at W3C.
023-2964247,4,4.7,> I really would like to get some updated info. before planning an informal SIG.
023-2964247,4,4.8,"> However, if you email me that you are interested in meeting at CHI, I can try to arrange something"
023-2964247,4,4.9,> -- either signing up for an informal sig or arranging to meet for lunch or something.
023-2964247,4,4.10,> Sharon
023-2964247,4,4.11,> Quoting Keith Instone &lt;keith@instone.org&gt; :
023-2964247,4,4.12,>> I am planning my schedule at CHI 2003 &lt;http://www.chi2003.org/&gt; -
023-2964247,4,4.13,>> will there be anything happening at the conference related to this  W3C User interest group?
023-2964247,4,4.14,">> I do not see anything on the program yet, but I suspect we could at least have an informal SIG"
023-2964247,4,4.15,>> - a chance to meet others and bring someone like me (who missed the workshop) up to speed on what is happening.
023-2964247,4,4.16,">> Like all CHIs, there will be many competing activities, so the sooner we can set this up the more likely I can attend."
023-2964247,4,4.17,>> Keith
023-2964247,4,4.18,>> keith@instone.org http://keith.instone.org/
023-2964247,4,4.19,--
023-2964247,4,4.20,__________________________________________________________
023-2964247,4,4.21,C h i p A l e x a n d e r
023-2964247,4,4.22,"Design Lead, User Interface Guidelines"
023-2964247,4,4.23,CTO-User Experience Group Chip.Alexander@sun.com
023-2964247,4,4.24,"Sun Microsystems, Menlo Park 650/786-4551 (or x84551)"
023-2964247,4,4.25,__________________________________________________________
023-2964247,5,5.1,I have been in contact with Steven Pemberton.
023-2964247,5,5.2,Here is the plan for CHI:
023-2964247,5,5.3,I will sign up for an informal SIG at CHI.
023-2964247,5,5.4,"I haven't found out the time slots yet, but will try to today."
023-2964247,5,5.5,"For those of you who want to attend the sig, let me know if you have any hard constraints and I will try to sign up for a time to accommodate as many people as possible."
023-2964247,5,5.6,Steven and I will also meet at CHI for planning purposes.
023-2964247,5,5.7,Sharon
023-2964247,6,6.1,The most convenient time to schedule the W3C UIG informal sig discussion is: Tuesday 4/8 1-2:30pm
023-2964247,6,6.2,This is the lunchtime slot.
023-2964247,6,6.3,I don't think we will need the entire 90 minutes so there will be time for lunch afterwards.
023-2964247,6,6.4,"As of Friday, this slot was still open for an informal SIG."
023-2964247,6,6.5,"If this is not available or there are conflicts, Wednesday 4/9 1-2:30 will be the backup."
023-2964247,6,6.6,I will email the informal SIG people and get on the schedule this afternoon and confirm via this listserv.
023-2964247,6,6.7,Hope to see you next week.
023-2964247,6,6.8,Sharon
023-2964247,7,7.1,CHI attendees:
023-2964247,7,7.2,We have a confirmed Informal SIG time slot for the W3C Usability Interest Group Planning at CHI:
023-2964247,7,7.3,Tuesday 4/8 1-2:30
023-2964247,7,7.4,Sharon
026-4380722,1,1.1,We are trying to do advanced planning for a F2F in September.
026-4380722,1,1.2,"Because of the membership overlap with the OASIS BPEL TC, we would like to try and co-locate with their meetings."
026-4380722,1,1.3,"This is not a joint meeting, and is being proposed purely to ease travel logistics and members' costs."
026-4380722,1,1.4,"The OASIS TC is proposing to meet 17 (afternoon), 18, and 19 September, either in Seattle or Germany."
026-4380722,1,1.5,"Thus it makes sense to try and meet on 15, 16, and 17 (Morning) September."
026-4380722,1,1.6,Can people check their diaries for these dates and inform the chairs asap.
026-4380722,1,1.7,"SAP have offered to host the meeting in Germany (thanks Kevin), but should the BPEL TC decide to meet in Seattle, we would need to find a host."
026-4380722,1,1.8,Offers gratefully accepted.
026-4380722,1,1.9,"Cheers,"
026-4380722,1,1.10,Martin.
026-4380722,1,1.11,_________________________________________________________________
026-4380722,1,1.12,Martin Chapman 500 Oracle Parkway
026-4380722,1,1.13,Consulting Member of Technical Staff Ms 4op990
026-4380722,1,1.14,"Oracle Redwood Shores,"
026-4380722,1,1.15,P: +1 650 506 6941 CA 94065
026-4380722,1,1.16,e: martin.chapman@oracle.com USA
026-4380722,2,2.1,Where in Germany?
026-4380722,2,2.2,"On Friday, May 30, 2003, at 09:13 AM, Martin Chapman wrote:"
026-4380722,2,2.3,> We are trying to do advanced planning for a F2F in September.
026-4380722,2,2.4,"> Because of the membership overlap with the OASIS BPEL TC, we would like to try and co-locate with their meetings."
026-4380722,2,2.5,"> This is not a joint meeting, and is being proposed purely to ease travel logistics and members' costs."
026-4380722,2,2.6,"> The OASIS TC is proposing to meet 17 (afternoon), 18, and 19 September, either in Seattle or Germany."
026-4380722,2,2.7,"> Thus it makes sense to try and meet on 15, 16, and 17 (Morning) September."
026-4380722,2,2.8,> Can people check their diaries for these dates and inform the chairs asap.
026-4380722,2,2.9,"> SAP have offered to host the meeting in Germany (thanks Kevin), but should the BPEL TC decide to meet in Seattle, we would need to find a host."
026-4380722,2,2.10,> Offers gratefully accepted.
026-4380722,2,2.11,"> Cheers,"
026-4380722,2,2.12,> Martin.
026-4380722,2,2.13,> _________________________________________________________________
026-4380722,2,2.14,> Martin Chapman 500 Oracle Parkway
026-4380722,2,2.15,> Consulting Member of Technical Staff Ms 4op990
026-4380722,2,2.16,"> Oracle Redwood Shores,"
026-4380722,2,2.17,> P: +1 650 506 6941 CA 94065
026-4380722,2,2.18,> e: martin.chapman@oracle.com USA
026-4380722,3,3.1,SAP is in Waldorf not far from Heidelberg
026-4380722,3,3.2,Francis McCabe wrote:
026-4380722,3,3.3,> Where in Germany?
026-4380722,3,3.4,"> On Friday, May 30, 2003, at 09:13 AM, Martin Chapman wrote:"
026-4380722,3,3.5,>> We are trying to do advanced planning for a F2F in September.
026-4380722,3,3.6,">> Because of the membership overlap with the OASIS BPEL TC, we would like to try and co-locate with their meetings."
026-4380722,3,3.7,">> This is not a joint meeting, and is being proposed purely to ease travel logistics and members' costs."
026-4380722,3,3.8,">> The OASIS TC is proposing to meet 17 (afternoon), 18, and 19 September, either in Seattle or Germany."
026-4380722,3,3.9,">> Thus it makes sense to try and meet on 15, 16, and 17 (Morning) September."
026-4380722,3,3.10,>> Can people check their diaries for these dates and inform the chairs asap.
026-4380722,3,3.11,">> SAP have offered to host the meeting in Germany (thanks Kevin), but should the BPEL TC decide to meet in Seattle, we would need to find a host."
026-4380722,3,3.12,>> Offers gratefully accepted.
026-4380722,3,3.13,">> Cheers,"
026-4380722,3,3.14,>> Martin.
026-4380722,3,3.15,>> _________________________________________________________________
026-4380722,3,3.16,>> Martin Chapman 500 Oracle Parkway
026-4380722,3,3.17,>> Consulting Member of Technical Staff Ms 4op990
026-4380722,3,3.18,">> Oracle Redwood Shores,"
026-4380722,3,3.19,>> P: +1 650 506 6941 CA 94065
026-4380722,3,3.20,>> e: martin.chapman@oracle.com USA
026-4380722,4,4.1,"> The OASIS TC is proposing to meet 17 (afternoon), 18, and 19 September, either in Seattle or Germany."
026-4380722,4,4.2,"> Thus it makes sense to try and meet on 15, 16, and 17 (Morning) September."
026-4380722,4,4.3,> Can people check their diaries for these dates and inform the chairs asap.
026-4380722,4,4.4,mm1: This overlaps with SunNetworks.
026-4380722,4,4.5,Could we investigate trying the next week?
026-4380722,5,5.1,"It's certainly possible, but we shouldn't get into an n-phase transaction:"
026-4380722,5,5.2,if its in germany those that want to attend both meetings get a weekend in Heidelburg.
026-4380722,5,5.3,If BPEl decides to meet in Seattle I'm not sure many would have such a weekend stayover.
026-4380722,5,5.4,Of course of bpel meet the following week ...
026-4380722,5,5.5,You see where I'm going with this!
026-4380722,5,5.6,Mart
026-4380722,5,5.7,> -----Original Message-----
026-4380722,5,5.8,">> The OASIS TC is proposing to meet 17 (afternoon), 18, and 19 September, either in Seattle or Germany."
026-4380722,5,5.9,">> Thus it makes sense to try and meet on 15, 16, and 17 (Morning) September."
026-4380722,5,5.10,>> Can people check their diaries for these dates and inform the chairs asap.
026-4380722,5,5.11,> mm1: This overlaps with SunNetworks.
026-4380722,5,5.12,> Could we investigate trying the next week?
043-10248963,1,1.1,"Having not heard from anyone else, I am going with the Univ. of Calif. at Irvine locations."
043-10248963,1,1.2,Further logistic information will be posted as soon as it is available.
043-10248963,1,1.3,"Thanks,"
043-10248963,1,1.4,Donald
043-10248963,1,1.5,=====================================================================
043-10248963,1,1.6,Donald E. Eastlake 3rd +1 914-276-2668 dee3@torque.pothole.com
043-10248963,1,1.7,"65 Shindegan Hill Road, RR#1 +1 914-784-7913(work) dee3@us.ibm.com"
043-10248963,1,1.8,"Carmel, NY 10512 USA"
043-10248963,2,2.1,"Sorry, I thought we had until the end of the week."
043-10248963,2,2.2,I can offer to hold the meeting here at Microsoft if the wg prefers Seattle at that time.
043-10248963,2,2.3,"Yes, the sun has been known to shine here in August : - )"
043-10248963,2,2.4,Either location is OK with me btw.
043-10248963,2,2.5,--Barb
043-10248963,2,2.6,-----Original Message-----
043-10248963,2,2.7,"> Having not heard from anyone else, I am going with the Univ. of Calif. at Irvine locations."
043-10248963,2,2.8,> Further logistic information will be posted as soon as it is available.
043-10248963,2,2.9,"> Thanks,"
043-10248963,2,2.10,> Donald
043-10248963,2,2.11,> =====================================================================
043-10248963,2,2.12,> Donald E. Eastlake 3rd +1 914-276-2668 dee3@torque.pothole.com
043-10248963,2,2.13,"> 65 Shindegan Hill Road, RR#1 +1 914-784-7913(work) dee3@us.ibm.com"
043-10248963,2,2.14,"> Carmel, NY 10512 USA"
043-10248963,3,3.1,"Has the decision been made, or should I express my preference for Seattle? :)"
043-10248963,3,3.2,-Mark
043-10248963,3,3.3,-----Original Message-----
043-10248963,3,3.4,"> Sorry, I thought we had until the end of the week."
043-10248963,3,3.5,> I can offer to hold the meeting here at Microsoft if the wg prefers Seattle at that time.
043-10248963,3,3.6,"> Yes, the sun has been known to shine here in August : - )"
043-10248963,3,3.7,> Either location is OK with me btw.
043-10248963,3,3.8,> --Barb
043-10248963,3,3.9,> -----Original Message-----
043-10248963,3,3.10,">> Having not heard from anyone else, I am going with the Univ. of Calif. at Irvine locations."
043-10248963,3,3.11,>> Further logistic information will be posted as soon as it is available.
043-10248963,3,3.12,">> Thanks,"
043-10248963,3,3.13,>> Donald
043-10248963,3,3.14,>> =====================================================================
043-10248963,3,3.15,>> Donald E. Eastlake 3rd +1 914-276-2668 dee3@torque.pothole.com
043-10248963,3,3.16,">> 65 Shindegan Hill Road, RR#1 +1 914-784-7913(work) dee3@us.ibm.com"
043-10248963,3,3.17,">> Carmel, NY 10512 USA"
043-10248963,4,4.1,"> Has the decision been made, or should I express my preference for Seattle?"
043-10248963,4,4.2,"Only if we can go to a certain shop, Barb knows what I am talking about :-)"
043-10248963,4,4.3,Peter
043-10248963,4,4.4,---------------------------------
043-10248963,4,4.5,Dr. Peter Lipp
043-10248963,4,4.6,"IAIK, TU Graz"
043-10248963,4,4.7,Email Peter.Lipp@iaik.at
043-10248963,4,4.8,Phone +43 316 873 5513
043-10248963,4,4.9,Fax +43 316 873 5510
043-10248963,4,4.10,Web http://jcewww.iaik.tu-graz.ac.at
043-10248963,4,4.11,application/x-pkcs7-signature attachment: smime.p7s
043-10248963,5,5.1,I'll check into that Peter : - )
043-10248963,5,5.2,--Barb
043-10248963,5,5.3,-----Original Message-----
043-10248963,5,5.4,">> Has the decision been made, or should I express my preference for Seattle?"
043-10248963,5,5.5,"> Only if we can go to a certain shop, Barb knows what I am talking about :-)"
043-10248963,5,5.6,> Peter
043-10248963,5,5.7,> ---------------------------------
043-10248963,5,5.8,> Dr. Peter Lipp
043-10248963,5,5.9,"> IAIK, TU Graz"
043-10248963,5,5.10,> Email Peter.Lipp@iaik.at
043-10248963,5,5.11,> Phone +43 316 873 5513
043-10248963,5,5.12,> Fax +43 316 873 5510
043-10248963,5,5.13,> Web http://jcewww.iaik.tu-graz.ac.at
043-10248963,6,6.1,There has been very little comment either way on this at the meeting or on the list.
043-10248963,6,6.2,The problem is that W3C rules require 6 weeks notice of meetings which I believe applies to time and location.
043-10248963,6,6.3,"Assuming this is true, I think we have to go with the UC Irvine location unless we want to postpone the meeting...."
043-10248963,6,6.4,Donald
043-10248963,6,6.5,"Donald E. Eastlake, 3rd"
043-10248963,6,6.6,"17 Skyline Drive, Hawthorne, NY 10532 USA"
043-10248963,6,6.7,"dee3@us.ibm.com tel: 1-914-784-7913, fax: 1-914-784-3833"
043-10248963,6,6.8,"home: 65 Shindegan Hill Road, RR#1, Carmel, NY 10512 USA"
043-10248963,6,6.9,"> Has the decision been made, or should I express my preference for Seattle? :)"
043-10248963,6,6.10,> -Mark
043-10248963,6,6.11,> -----Original Message-----
043-10248963,6,6.12,">> Sorry, I thought we had until the end of the week."
043-10248963,6,6.13,>> I can offer to hold the meeting here at Microsoft if the wg prefers Seattle at that time.
043-10248963,6,6.14,">> Yes, the sun has been known to shine here in August : - )"
043-10248963,6,6.15,>> Either location is OK with me btw.
043-10248963,6,6.16,>> --Barb
043-10248963,6,6.17,>> -----Original Message-----
043-10248963,6,6.18,">>> Having not heard from anyone else, I am going with the Univ. of Calif. at Irvine locations."
043-10248963,6,6.19,>>> Further logistic information will be posted as soon as it is available.
043-10248963,6,6.20,">>> Thanks,"
043-10248963,6,6.21,>>> Donald
043-10248963,6,6.22,>>> =====================================================================
043-10248963,6,6.23,>>> Donald E. Eastlake 3rd +1 914-276-2668 dee3@torque.pothole.com
043-10248963,6,6.24,">>> 65 Shindegan Hill Road, RR#1 +1 914-784-7913(work) dee3@us.ibm.com"
043-10248963,6,6.25,">>> Carmel, NY 10512 USA"
043-10248963,7,7.1,"Pesonally - If we are going to do ""it"" in Washington State, My vote is for Seattle rather than Redmond, unless we are are all camping at ""Bill's new place on the lake"" and you are making arrangements to have us shuttle in from SeaTac to the private Microsoft Airport."
043-10248963,7,7.2,Staging in Seattle saves the bulk of us the drive out to Redmond.
043-10248963,7,7.3,I myself would rather see us there staying at someplace like the Edgewater than in Redmond by far.
043-10248963,7,7.4,"It's really easier to get to and has more night-life, etc etc etc."
043-10248963,7,7.5,A number of us have personal experience of the Edgewater's facilities from one of last year's ISC Meetings we had there.
043-10248963,7,7.6,"Very good site and lots of reasoably priced facilities in the area and Pikes Market Arcade Area is a hop, skip, and a jump away."
043-10248963,7,7.7,"Otherwise, by my vote - Sourthern California is fine by me."
043-10248963,7,7.8,Todd
043-10248963,7,7.9,----- Original Message -----
043-10248963,7,7.10,> I'll check into that Peter : - )
043-10248963,7,7.11,> --Barb
043-10248963,7,7.12,> -----Original Message-----
043-10248963,7,7.13,">>> Has the decision been made, or should I express my preference for Seattle?"
043-10248963,7,7.14,">> Only if we can go to a certain shop, Barb knows what I am talking about :-)"
043-10248963,7,7.15,>> Peter
043-10248963,7,7.16,>> ---------------------------------
043-10248963,7,7.17,>> Dr. Peter Lipp
